Date,Hospital,Blood Type,Demand
12-01-2024,MedFort Hospital,B+,198
13-01-2024,MedFort Hospital,B+,207
14-01-2024,MedFort Hospital,B+,206
15-01-2024,MedFort Hospital,B+,203
16-01-2024,MedFort Hospital,B+,199
17-01-2024,MedFort Hospital,B+,201
18-01-2024,MedFort Hospital,B+,208
19-01-2024,MedFort Hospital,B+,197
20-01-2024,MedFort Hospital,B+,212
21-01-2024,MedFort Hospital,B+,202
22-01-2024,MedFort Hospital,B+,210
23-01-2024,MedFort Hospital,B+,195
24-01-2024,MedFort Hospital,B+,205
25-01-2024,MedFort Hospital,B+,203
26-01-2024,MedFort Hospital,B+,209
27-01-2024,MedFort Hospital,B+,205
28-01-2024,MedFort Hospital,B+,198
29-01-2024,MedFort Hospital,B+,209
30-01-2024,MedFort Hospital,B+,205
01-01-2024,MedFort Hospital,B-,214
02-01-2024,MedFort Hospital,B-,207
03-01-2024,MedFort Hospital,B-,218
04-01-2024,MedFort Hospital,B-,223
05-01-2024,MedFort Hospital,B-,209
06-01-2024,MedFort Hospital,B-,209
07-01-2024,MedFort Hospital,B-,224
08-01-2024,MedFort Hospital,B-,221
09-01-2024,MedFort Hospital,B-,214
10-01-2024,MedFort Hospital,B-,209
11-01-2024,MedFort Hospital,B-,208
12-01-2024,MedFort Hospital,B-,210
13-01-2024,MedFort Hospital,B-,208
14-01-2024,MedFort Hospital,B-,211
15-01-2024,MedFort Hospital,B-,211
16-01-2024,MedFort Hospital,B-,222
17-01-2024,MedFort Hospital,B-,207
18-01-2024,MedFort Hospital,B-,205
19-01-2024,MedFort Hospital,B-,208
20-01-2024,MedFort Hospital,B-,210
21-01-2024,MedFort Hospital,B-,213
22-01-2024,MedFort Hospital,B-,218
23-01-2024,MedFort Hospital,B-,216
24-01-2024,MedFort Hospital,B-,224
25-01-2024,MedFort Hospital,B-,208
26-01-2024,MedFort Hospital,B-,216
27-01-2024,MedFort Hospital,B-,214
28-01-2024,MedFort Hospital,B-,211
29-01-2024,MedFort Hospital,B-,207
30-01-2024,MedFort Hospital,B-,218
01-01-2024,MedFort Hospital,O+,195
02-01-2024,MedFort Hospital,O+,198
03-01-2024,MedFort Hospital,O+,191
04-01-2024,MedFort Hospital,O+,197
05-01-2024,MedFort Hospital,O+,194
06-01-2024,MedFort Hospital,O+,198
07-01-2024,MedFort Hospital,O+,189
08-01-2024,MedFort Hospital,O+,196
09-01-2024,MedFort Hospital,O+,205
10-01-2024,MedFort Hospital,O+,203
11-01-2024,MedFort Hospital,O+,196
12-01-2024,MedFort Hospital,O+,189
13-01-2024,MedFort Hospital,O+,203
14-01-2024,MedFort Hospital,O+,186
15-01-2024,MedFort Hospital,O+,192
16-01-2024,MedFort Hospital,O+,191
17-01-2024,MedFort Hospital,O+,200
18-01-2024,MedFort Hospital,O+,203
19-01-2024,MedFort Hospital,O+,196
20-01-2024,MedFort Hospital,O+,205
21-01-2024,MedFort Hospital,O+,200
22-01-2024,MedFort Hospital,O+,201
23-01-2024,MedFort Hospital,O+,192
24-01-2024,MedFort Hospital,O+,195
25-01-2024,MedFort Hospital,O+,197
26-01-2024,MedFort Hospital,O+,199
27-01-2024,MedFort Hospital,O+,190
28-01-2024,MedFort Hospital,O+,203
29-01-2024,MedFort Hospital,O+,190
30-01-2024,MedFort Hospital,O+,188
01-01-2024,MedFort Hospital,O-,203
02-01-2024,MedFort Hospital,O-,203
03-01-2024,MedFort Hospital,O-,196
04-01-2024,MedFort Hospital,O-,193
05-01-2024,MedFort Hospital,O-,185
06-01-2024,MedFort Hospital,O-,202
07-01-2024,MedFort Hospital,O-,188
08-01-2024,MedFort Hospital,O-,194
09-01-2024,MedFort Hospital,O-,191
10-01-2024,MedFort Hospital,O-,185
11-01-2024,MedFort Hospital,O-,201
12-01-2024,MedFort Hospital,O-,186
13-01-2024,MedFort Hospital,O-,195
14-01-2024,MedFort Hospital,O-,193
15-01-2024,MedFort Hospital,O-,191
16-01-2024,MedFort Hospital,O-,201
17-01-2024,MedFort Hospital,O-,201
18-01-2024,MedFort Hospital,O-,186
19-01-2024,MedFort Hospital,O-,190
20-01-2024,MedFort Hospital,O-,198
21-01-2024,MedFort Hospital,O-,190
22-01-2024,MedFort Hospital,O-,186
23-01-2024,MedFort Hospital,O-,185
24-01-2024,MedFort Hospital,O-,194
25-01-2024,MedFort Hospital,O-,189
26-01-2024,MedFort Hospital,O-,186
27-01-2024,MedFort Hospital,O-,200
28-01-2024,MedFort Hospital,O-,186
29-01-2024,MedFort Hospital,O-,194
30-01-2024,MedFort Hospital,O-,186
01-01-2024,MedFort Hospital,AB+,200
02-01-2024,MedFort Hospital,AB+,205
03-01-2024,MedFort Hospital,AB+,208
04-01-2024,MedFort Hospital,AB+,201
05-01-2024,MedFort Hospital,AB+,199
06-01-2024,MedFort Hospital,AB+,203
07-01-2024,MedFort Hospital,AB+,196
08-01-2024,MedFort Hospital,AB+,212
09-01-2024,MedFort Hospital,AB+,210
10-01-2024,MedFort Hospital,AB+,200
11-01-2024,MedFort Hospital,AB+,213
12-01-2024,MedFort Hospital,AB+,197
13-01-2024,MedFort Hospital,AB+,207
14-01-2024,MedFort Hospital,AB+,213
15-01-2024,MedFort Hospital,AB+,208
16-01-2024,MedFort Hospital,AB+,201
17-01-2024,MedFort Hospital,AB+,208
18-01-2024,MedFort Hospital,AB+,213
19-01-2024,MedFort Hospital,AB+,207
20-01-2024,MedFort Hospital,AB+,202
21-01-2024,MedFort Hospital,AB+,201
22-01-2024,MedFort Hospital,AB+,210
23-01-2024,MedFort Hospital,AB+,195
24-01-2024,MedFort Hospital,AB+,196
25-01-2024,MedFort Hospital,AB+,201
26-01-2024,MedFort Hospital,AB+,205
27-01-2024,MedFort Hospital,AB+,194
28-01-2024,MedFort Hospital,AB+,203
29-01-2024,MedFort Hospital,AB+,213
30-01-2024,MedFort Hospital,AB+,196
01-01-2024,MedFort Hospital,AB-,201
02-01-2024,MedFort Hospital,AB-,194
03-01-2024,MedFort Hospital,AB-,202
04-01-2024,MedFort Hospital,AB-,188
05-01-2024,MedFort Hospital,AB-,202
06-01-2024,MedFort Hospital,AB-,194
07-01-2024,MedFort Hospital,AB-,195
08-01-2024,MedFort Hospital,AB-,193
09-01-2024,MedFort Hospital,AB-,191
10-01-2024,MedFort Hospital,AB-,192
11-01-2024,MedFort Hospital,AB-,187
12-01-2024,MedFort Hospital,AB-,188
13-01-2024,MedFort Hospital,AB-,191
14-01-2024,MedFort Hospital,AB-,192
15-01-2024,MedFort Hospital,AB-,198
16-01-2024,MedFort Hospital,AB-,198
17-01-2024,MedFort Hospital,AB-,199
18-01-2024,MedFort Hospital,AB-,197
19-01-2024,MedFort Hospital,AB-,191
20-01-2024,MedFort Hospital,AB-,201
21-01-2024,MedFort Hospital,AB-,193
22-01-2024,MedFort Hospital,AB-,203
23-01-2024,MedFort Hospital,AB-,189
24-01-2024,MedFort Hospital,AB-,195
25-01-2024,MedFort Hospital,AB-,185
26-01-2024,MedFort Hospital,AB-,190
27-01-2024,MedFort Hospital,AB-,199
28-01-2024,MedFort Hospital,AB-,186
29-01-2024,MedFort Hospital,AB-,196
30-01-2024,MedFort Hospital,AB-,186
01-01-2024,New Hope Hospital,A+,77
02-01-2024,New Hope Hospital,A+,72
03-01-2024,New Hope Hospital,A+,72
04-01-2024,New Hope Hospital,A+,79
05-01-2024,New Hope Hospital,A+,76
06-01-2024,New Hope Hospital,A+,87
07-01-2024,New Hope Hospital,A+,82
08-01-2024,New Hope Hospital,A+,76
09-01-2024,New Hope Hospital,A+,75
10-01-2024,New Hope Hospital,A+,77
11-01-2024,New Hope Hospital,A+,85
12-01-2024,New Hope Hospital,A+,90
13-01-2024,New Hope Hospital,A+,80
14-01-2024,New Hope Hospital,A+,83
15-01-2024,New Hope Hospital,A+,82
16-01-2024,New Hope Hospital,A+,85
17-01-2024,New Hope Hospital,A+,87
18-01-2024,New Hope Hospital,A+,72
19-01-2024,New Hope Hospital,A+,84
20-01-2024,New Hope Hospital,A+,84
21-01-2024,New Hope Hospital,A+,73
22-01-2024,New Hope Hospital,A+,75
23-01-2024,New Hope Hospital,A+,77
24-01-2024,New Hope Hospital,A+,76
25-01-2024,New Hope Hospital,A+,74
26-01-2024,New Hope Hospital,A+,72
27-01-2024,New Hope Hospital,A+,75
28-01-2024,New Hope Hospital,A+,91
29-01-2024,New Hope Hospital,A+,73
30-01-2024,New Hope Hospital,A+,76
01-01-2024,New Hope Hospital,A-,65
02-01-2024,New Hope Hospital,A-,76
03-01-2024,New Hope Hospital,A-,62
04-01-2024,New Hope Hospital,A-,74
05-01-2024,New Hope Hospital,A-,62
06-01-2024,New Hope Hospital,A-,75
07-01-2024,New Hope Hospital,A-,68
08-01-2024,New Hope Hospital,A-,67
09-01-2024,New Hope Hospital,A-,58
10-01-2024,New Hope Hospital,A-,71
11-01-2024,New Hope Hospital,A-,68
12-01-2024,New Hope Hospital,A-,68
13-01-2024,New Hope Hospital,A-,65
14-01-2024,New Hope Hospital,A-,58
15-01-2024,New Hope Hospital,A-,59
16-01-2024,New Hope Hospital,A-,68
17-01-2024,New Hope Hospital,A-,72
18-01-2024,New Hope Hospital,A-,57
19-01-2024,New Hope Hospital,A-,59
20-01-2024,New Hope Hospital,A-,76
21-01-2024,New Hope Hospital,A-,58
22-01-2024,New Hope Hospital,A-,65
23-01-2024,New Hope Hospital,A-,75
24-01-2024,New Hope Hospital,A-,71
25-01-2024,New Hope Hospital,A-,74
26-01-2024,New Hope Hospital,A-,67
27-01-2024,New Hope Hospital,A-,72
28-01-2024,New Hope Hospital,A-,73
29-01-2024,New Hope Hospital,A-,61
30-01-2024,New Hope Hospital,A-,68
01-01-2024,New Hope Hospital,B+,70
02-01-2024,New Hope Hospital,B+,68
03-01-2024,New Hope Hospital,B+,87
04-01-2024,New Hope Hospital,B+,83
05-01-2024,New Hope Hospital,B+,69
06-01-2024,New Hope Hospital,B+,69
07-01-2024,New Hope Hospital,B+,70
08-01-2024,New Hope Hospital,B+,75
09-01-2024,New Hope Hospital,B+,82
10-01-2024,New Hope Hospital,B+,74
11-01-2024,New Hope Hospital,B+,73
12-01-2024,New Hope Hospital,B+,76
13-01-2024,New Hope Hospital,B+,87
14-01-2024,New Hope Hospital,B+,68
15-01-2024,New Hope Hospital,B+,75
16-01-2024,New Hope Hospital,B+,70
17-01-2024,New Hope Hospital,B+,71
18-01-2024,New Hope Hospital,B+,82
19-01-2024,New Hope Hospital,B+,73
20-01-2024,New Hope Hospital,B+,82
21-01-2024,New Hope Hospital,B+,70
22-01-2024,New Hope Hospital,B+,81
23-01-2024,New Hope Hospital,B+,87
24-01-2024,New Hope Hospital,B+,81
25-01-2024,New Hope Hospital,B+,71
26-01-2024,New Hope Hospital,B+,79
27-01-2024,New Hope Hospital,B+,84
28-01-2024,New Hope Hospital,B+,74
29-01-2024,New Hope Hospital,B+,76
30-01-2024,New Hope Hospital,B+,70
01-01-2024,New Hope Hospital,B-,89
02-01-2024,New Hope Hospital,B-,71
03-01-2024,New Hope Hospital,B-,76
04-01-2024,New Hope Hospital,B-,72
05-01-2024,New Hope Hospital,B-,84
06-01-2024,New Hope Hospital,B-,76
07-01-2024,New Hope Hospital,B-,84
08-01-2024,New Hope Hospital,B-,74
09-01-2024,New Hope Hospital,B-,78
10-01-2024,New Hope Hospital,B-,73
11-01-2024,New Hope Hospital,B-,89
12-01-2024,New Hope Hospital,B-,84
13-01-2024,New Hope Hospital,B-,90
14-01-2024,New Hope Hospital,B-,87
15-01-2024,New Hope Hospital,B-,78
16-01-2024,New Hope Hospital,B-,84
17-01-2024,New Hope Hospital,B-,76
18-01-2024,New Hope Hospital,B-,86
19-01-2024,New Hope Hospital,B-,89
20-01-2024,New Hope Hospital,B-,84
21-01-2024,New Hope Hospital,B-,89
22-01-2024,New Hope Hospital,B-,73
23-01-2024,New Hope Hospital,B-,80
24-01-2024,New Hope Hospital,B-,89
25-01-2024,New Hope Hospital,B-,79
26-01-2024,New Hope Hospital,B-,90
27-01-2024,New Hope Hospital,B-,83
28-01-2024,New Hope Hospital,B-,77
29-01-2024,New Hope Hospital,B-,84
30-01-2024,New Hope Hospital,B-,79
01-01-2024,New Hope Hospital,O+,90
02-01-2024,New Hope Hospital,O+,82
03-01-2024,New Hope Hospital,O+,80
04-01-2024,New Hope Hospital,O+,84
05-01-2024,New Hope Hospital,O+,93
06-01-2024,New Hope Hospital,O+,85
07-01-2024,New Hope Hospital,O+,77
08-01-2024,New Hope Hospital,O+,96
09-01-2024,New Hope Hospital,O+,90
10-01-2024,New Hope Hospital,O+,87
11-01-2024,New Hope Hospital,O+,79
12-01-2024,New Hope Hospital,O+,85
13-01-2024,New Hope Hospital,O+,90
14-01-2024,New Hope Hospital,O+,85
15-01-2024,New Hope Hospital,O+,80
16-01-2024,New Hope Hospital,O+,80
17-01-2024,New Hope Hospital,O+,84
18-01-2024,New Hope Hospital,O+,78
19-01-2024,New Hope Hospital,O+,85
20-01-2024,New Hope Hospital,O+,90
21-01-2024,New Hope Hospital,O+,85
22-01-2024,New Hope Hospital,O+,92
23-01-2024,New Hope Hospital,O+,93
24-01-2024,New Hope Hospital,O+,92
25-01-2024,New Hope Hospital,O+,88
26-01-2024,New Hope Hospital,O+,79
27-01-2024,New Hope Hospital,O+,87
28-01-2024,New Hope Hospital,O+,90
29-01-2024,New Hope Hospital,O+,94
30-01-2024,New Hope Hospital,O+,81
01-01-2024,New Hope Hospital,O-,76
02-01-2024,New Hope Hospital,O-,85
03-01-2024,New Hope Hospital,O-,74
04-01-2024,New Hope Hospital,O-,82
05-01-2024,New Hope Hospital,O-,82
06-01-2024,New Hope Hospital,O-,77
07-01-2024,New Hope Hospital,O-,76
08-01-2024,New Hope Hospital,O-,90
09-01-2024,New Hope Hospital,O-,75
10-01-2024,New Hope Hospital,O-,74
11-01-2024,New Hope Hospital,O-,81
12-01-2024,New Hope Hospital,O-,86
13-01-2024,New Hope Hospital,O-,88
14-01-2024,New Hope Hospital,O-,81
15-01-2024,New Hope Hospital,O-,85
16-01-2024,New Hope Hospital,O-,85
17-01-2024,New Hope Hospital,O-,87
18-01-2024,New Hope Hospital,O-,88
19-01-2024,New Hope Hospital,O-,88
20-01-2024,New Hope Hospital,O-,82
21-01-2024,New Hope Hospital,O-,92
22-01-2024,New Hope Hospital,O-,93
23-01-2024,New Hope Hospital,O-,81
24-01-2024,New Hope Hospital,O-,92
25-01-2024,New Hope Hospital,O-,79
26-01-2024,New Hope Hospital,O-,93
27-01-2024,New Hope Hospital,O-,92
28-01-2024,New Hope Hospital,O-,77
29-01-2024,New Hope Hospital,O-,80
30-01-2024,New Hope Hospital,O-,77
01-01-2024,New Hope Hospital,AB+,79
02-01-2024,New Hope Hospital,AB+,69
03-01-2024,New Hope Hospital,AB+,69
04-01-2024,New Hope Hospital,AB+,76
05-01-2024,New Hope Hospital,AB+,68
06-01-2024,New Hope Hospital,AB+,75
07-01-2024,New Hope Hospital,AB+,73
08-01-2024,New Hope Hospital,AB+,73
09-01-2024,New Hope Hospital,AB+,85
10-01-2024,New Hope Hospital,AB+,84
11-01-2024,New Hope Hospital,AB+,79
12-01-2024,New Hope Hospital,AB+,73
13-01-2024,New Hope Hospital,AB+,75
14-01-2024,New Hope Hospital,AB+,86
15-01-2024,New Hope Hospital,AB+,77
16-01-2024,New Hope Hospital,AB+,68
17-01-2024,New Hope Hospital,AB+,80
18-01-2024,New Hope Hospital,AB+,84
19-01-2024,New Hope Hospital,AB+,70
20-01-2024,New Hope Hospital,AB+,75
21-01-2024,New Hope Hospital,AB+,81
22-01-2024,New Hope Hospital,AB+,70
23-01-2024,New Hope Hospital,AB+,83
24-01-2024,New Hope Hospital,AB+,80
25-01-2024,New Hope Hospital,AB+,87
26-01-2024,New Hope Hospital,AB+,84
27-01-2024,New Hope Hospital,AB+,80
28-01-2024,New Hope Hospital,AB+,73
29-01-2024,New Hope Hospital,AB+,84
30-01-2024,New Hope Hospital,AB+,81
01-01-2024,New Hope Hospital,AB-,81
02-01-2024,New Hope Hospital,AB-,90
03-01-2024,New Hope Hospital,AB-,71
04-01-2024,New Hope Hospital,AB-,77
05-01-2024,New Hope Hospital,AB-,87
06-01-2024,New Hope Hospital,AB-,80
07-01-2024,New Hope Hospital,AB-,81
08-01-2024,New Hope Hospital,AB-,79
09-01-2024,New Hope Hospital,AB-,79
10-01-2024,New Hope Hospital,AB-,75
11-01-2024,New Hope Hospital,AB-,87
12-01-2024,New Hope Hospital,AB-,79
13-01-2024,New Hope Hospital,AB-,87
14-01-2024,New Hope Hospital,AB-,89
15-01-2024,New Hope Hospital,AB-,77
16-01-2024,New Hope Hospital,AB-,79
17-01-2024,New Hope Hospital,AB-,77
18-01-2024,New Hope Hospital,AB-,83
19-01-2024,New Hope Hospital,AB-,81
20-01-2024,New Hope Hospital,AB-,84
21-01-2024,New Hope Hospital,AB-,89
22-01-2024,New Hope Hospital,AB-,81
23-01-2024,New Hope Hospital,AB-,83
24-01-2024,New Hope Hospital,AB-,84
25-01-2024,New Hope Hospital,AB-,83
26-01-2024,New Hope Hospital,AB-,71
27-01-2024,New Hope Hospital,AB-,78
28-01-2024,New Hope Hospital,AB-,82
29-01-2024,New Hope Hospital,AB-,89
30-01-2024,New Hope Hospital,AB-,82
01-01-2024,Sundaram Medical Foundation,A+,123
02-01-2024,Sundaram Medical Foundation,A+,122
03-01-2024,Sundaram Medical Foundation,A+,126
04-01-2024,Sundaram Medical Foundation,A+,111
05-01-2024,Sundaram Medical Foundation,A+,123
06-01-2024,Sundaram Medical Foundation,A+,117
07-01-2024,Sundaram Medical Foundation,A+,115
08-01-2024,Sundaram Medical Foundation,A+,118
09-01-2024,Sundaram Medical Foundation,A+,124
10-01-2024,Sundaram Medical Foundation,A+,123
11-01-2024,Sundaram Medical Foundation,A+,125
12-01-2024,Sundaram Medical Foundation,A+,127
13-01-2024,Sundaram Medical Foundation,A+,125
14-01-2024,Sundaram Medical Foundation,A+,130
15-01-2024,Sundaram Medical Foundation,A+,128
16-01-2024,Sundaram Medical Foundation,A+,128
17-01-2024,Sundaram Medical Foundation,A+,112
18-01-2024,Sundaram Medical Foundation,A+,114
19-01-2024,Sundaram Medical Foundation,A+,111
20-01-2024,Sundaram Medical Foundation,A+,114
21-01-2024,Sundaram Medical Foundation,A+,128
22-01-2024,Sundaram Medical Foundation,A+,115
23-01-2024,Sundaram Medical Foundation,A+,129
24-01-2024,Sundaram Medical Foundation,A+,125
25-01-2024,Sundaram Medical Foundation,A+,118
26-01-2024,Sundaram Medical Foundation,A+,130
27-01-2024,Sundaram Medical Foundation,A+,127
28-01-2024,Sundaram Medical Foundation,A+,111
29-01-2024,Sundaram Medical Foundation,A+,122
30-01-2024,Sundaram Medical Foundation,A+,129
01-01-2024,Sundaram Medical Foundation,A-,120
02-01-2024,Sundaram Medical Foundation,A-,127
03-01-2024,Sundaram Medical Foundation,A-,128
04-01-2024,Sundaram Medical Foundation,A-,120
05-01-2024,Sundaram Medical Foundation,A-,137
06-01-2024,Sundaram Medical Foundation,A-,129
07-01-2024,Sundaram Medical Foundation,A-,131
08-01-2024,Sundaram Medical Foundation,A-,128
09-01-2024,Sundaram Medical Foundation,A-,132
10-01-2024,Sundaram Medical Foundation,A-,136
11-01-2024,Sundaram Medical Foundation,A-,137
12-01-2024,Sundaram Medical Foundation,A-,127
13-01-2024,Sundaram Medical Foundation,A-,125
14-01-2024,Sundaram Medical Foundation,A-,121
15-01-2024,Sundaram Medical Foundation,A-,138
16-01-2024,Sundaram Medical Foundation,A-,124
17-01-2024,Sundaram Medical Foundation,A-,120
18-01-2024,Sundaram Medical Foundation,A-,124
19-01-2024,Sundaram Medical Foundation,A-,121
20-01-2024,Sundaram Medical Foundation,A-,134
21-01-2024,Sundaram Medical Foundation,A-,126
22-01-2024,Sundaram Medical Foundation,A-,120
23-01-2024,Sundaram Medical Foundation,A-,135
24-01-2024,Sundaram Medical Foundation,A-,127
25-01-2024,Sundaram Medical Foundation,A-,130
26-01-2024,Sundaram Medical Foundation,A-,121
27-01-2024,Sundaram Medical Foundation,A-,129
28-01-2024,Sundaram Medical Foundation,A-,119
29-01-2024,Sundaram Medical Foundation,A-,131
30-01-2024,Sundaram Medical Foundation,A-,133
01-01-2024,Sundaram Medical Foundation,B+,119
02-01-2024,Sundaram Medical Foundation,B+,108
03-01-2024,Sundaram Medical Foundation,B+,113
04-01-2024,Sundaram Medical Foundation,B+,120
05-01-2024,Sundaram Medical Foundation,B+,106
06-01-2024,Sundaram Medical Foundation,B+,105
07-01-2024,Sundaram Medical Foundation,B+,115
08-01-2024,Sundaram Medical Foundation,B+,111
09-01-2024,Sundaram Medical Foundation,B+,108
10-01-2024,Sundaram Medical Foundation,B+,114
11-01-2024,Sundaram Medical Foundation,B+,104
12-01-2024,Sundaram Medical Foundation,B+,105
13-01-2024,Sundaram Medical Foundation,B+,105
14-01-2024,Sundaram Medical Foundation,B+,114
15-01-2024,Sundaram Medical Foundation,B+,117
16-01-2024,Sundaram Medical Foundation,B+,111
17-01-2024,Sundaram Medical Foundation,B+,110
18-01-2024,Sundaram Medical Foundation,B+,113
19-01-2024,Sundaram Medical Foundation,B+,118
20-01-2024,Sundaram Medical Foundation,B+,106
21-01-2024,Sundaram Medical Foundation,B+,103
22-01-2024,Sundaram Medical Foundation,B+,109
23-01-2024,Sundaram Medical Foundation,B+,104
24-01-2024,Sundaram Medical Foundation,B+,107
25-01-2024,Sundaram Medical Foundation,B+,109
26-01-2024,Sundaram Medical Foundation,B+,106
27-01-2024,Sundaram Medical Foundation,B+,107
28-01-2024,Sundaram Medical Foundation,B+,103
29-01-2024,Sundaram Medical Foundation,B+,103
30-01-2024,Sundaram Medical Foundation,B+,117
01-01-2024,Sundaram Medical Foundation,B-,129
02-01-2024,Sundaram Medical Foundation,B-,137
03-01-2024,Sundaram Medical Foundation,B-,122
04-01-2024,Sundaram Medical Foundation,B-,130
05-01-2024,Sundaram Medical Foundation,B-,134
06-01-2024,Sundaram Medical Foundation,B-,130
07-01-2024,Sundaram Medical Foundation,B-,136
08-01-2024,Sundaram Medical Foundation,B-,136
09-01-2024,Sundaram Medical Foundation,B-,125
10-01-2024,Sundaram Medical Foundation,B-,124
11-01-2024,Sundaram Medical Foundation,B-,127
12-01-2024,Sundaram Medical Foundation,B-,121
13-01-2024,Sundaram Medical Foundation,B-,135
14-01-2024,Sundaram Medical Foundation,B-,139
15-01-2024,Sundaram Medical Foundation,B-,131
16-01-2024,Sundaram Medical Foundation,B-,125
17-01-2024,Sundaram Medical Foundation,B-,120
18-01-2024,Sundaram Medical Foundation,B-,123
19-01-2024,Sundaram Medical Foundation,B-,136
20-01-2024,Sundaram Medical Foundation,B-,132
21-01-2024,Sundaram Medical Foundation,B-,137
22-01-2024,Sundaram Medical Foundation,B-,124
23-01-2024,Sundaram Medical Foundation,B-,122
24-01-2024,Sundaram Medical Foundation,B-,130
25-01-2024,Sundaram Medical Foundation,B-,132
26-01-2024,Sundaram Medical Foundation,B-,123
27-01-2024,Sundaram Medical Foundation,B-,133
28-01-2024,Sundaram Medical Foundation,B-,130
29-01-2024,Sundaram Medical Foundation,B-,129
30-01-2024,Sundaram Medical Foundation,B-,138
01-01-2024,Sundaram Medical Foundation,O+,132
02-01-2024,Sundaram Medical Foundation,O+,127
03-01-2024,Sundaram Medical Foundation,O+,122
04-01-2024,Sundaram Medical Foundation,O+,122
05-01-2024,Sundaram Medical Foundation,O+,127
06-01-2024,Sundaram Medical Foundation,O+,122
07-01-2024,Sundaram Medical Foundation,O+,120
08-01-2024,Sundaram Medical Foundation,O+,123
09-01-2024,Sundaram Medical Foundation,O+,121
10-01-2024,Sundaram Medical Foundation,O+,135
11-01-2024,Sundaram Medical Foundation,O+,126
12-01-2024,Sundaram Medical Foundation,O+,134
13-01-2024,Sundaram Medical Foundation,O+,130
14-01-2024,Sundaram Medical Foundation,O+,132
15-01-2024,Sundaram Medical Foundation,O+,137
16-01-2024,Sundaram Medical Foundation,O+,134
17-01-2024,Sundaram Medical Foundation,O+,130
18-01-2024,Sundaram Medical Foundation,O+,133
19-01-2024,Sundaram Medical Foundation,O+,121
20-01-2024,Sundaram Medical Foundation,O+,122
21-01-2024,Sundaram Medical Foundation,O+,122
22-01-2024,Sundaram Medical Foundation,O+,126
23-01-2024,Sundaram Medical Foundation,O+,134
24-01-2024,Sundaram Medical Foundation,O+,130
25-01-2024,Sundaram Medical Foundation,O+,119
26-01-2024,Sundaram Medical Foundation,O+,130
27-01-2024,Sundaram Medical Foundation,O+,136
28-01-2024,Sundaram Medical Foundation,O+,120
29-01-2024,Sundaram Medical Foundation,O+,127
30-01-2024,Sundaram Medical Foundation,O+,119
01-01-2024,Sundaram Medical Foundation,O-,128
02-01-2024,Sundaram Medical Foundation,O-,125
03-01-2024,Sundaram Medical Foundation,O-,123
04-01-2024,Sundaram Medical Foundation,O-,123
05-01-2024,Sundaram Medical Foundation,O-,122
06-01-2024,Sundaram Medical Foundation,O-,118
07-01-2024,Sundaram Medical Foundation,O-,115
08-01-2024,Sundaram Medical Foundation,O-,130
09-01-2024,Sundaram Medical Foundation,O-,112
10-01-2024,Sundaram Medical Foundation,O-,114
11-01-2024,Sundaram Medical Foundation,O-,124
12-01-2024,Sundaram Medical Foundation,O-,126
13-01-2024,Sundaram Medical Foundation,O-,113
14-01-2024,Sundaram Medical Foundation,O-,122
15-01-2024,Sundaram Medical Foundation,O-,115
16-01-2024,Sundaram Medical Foundation,O-,130
17-01-2024,Sundaram Medical Foundation,O-,128
18-01-2024,Sundaram Medical Foundation,O-,114
19-01-2024,Sundaram Medical Foundation,O-,129
20-01-2024,Sundaram Medical Foundation,O-,119
21-01-2024,Sundaram Medical Foundation,O-,130
22-01-2024,Sundaram Medical Foundation,O-,116
23-01-2024,Sundaram Medical Foundation,O-,118
24-01-2024,Sundaram Medical Foundation,O-,119
25-01-2024,Sundaram Medical Foundation,O-,116
26-01-2024,Sundaram Medical Foundation,O-,128
27-01-2024,Sundaram Medical Foundation,O-,116
28-01-2024,Sundaram Medical Foundation,O-,115
29-01-2024,Sundaram Medical Foundation,O-,130
30-01-2024,Sundaram Medical Foundation,O-,113
01-01-2024,Sundaram Medical Foundation,AB+,125
02-01-2024,Sundaram Medical Foundation,AB+,122
03-01-2024,Sundaram Medical Foundation,AB+,121
04-01-2024,Sundaram Medical Foundation,AB+,117
05-01-2024,Sundaram Medical Foundation,AB+,115
06-01-2024,Sundaram Medical Foundation,AB+,127
07-01-2024,Sundaram Medical Foundation,AB+,130
08-01-2024,Sundaram Medical Foundation,AB+,119
09-01-2024,Sundaram Medical Foundation,AB+,124
10-01-2024,Sundaram Medical Foundation,AB+,122
11-01-2024,Sundaram Medical Foundation,AB+,116
12-01-2024,Sundaram Medical Foundation,AB+,127
13-01-2024,Sundaram Medical Foundation,AB+,129
14-01-2024,Sundaram Medical Foundation,AB+,129
15-01-2024,Sundaram Medical Foundation,AB+,126
16-01-2024,Sundaram Medical Foundation,AB+,122
17-01-2024,Sundaram Medical Foundation,AB+,122
18-01-2024,Sundaram Medical Foundation,AB+,130
19-01-2024,Sundaram Medical Foundation,AB+,116
20-01-2024,Sundaram Medical Foundation,AB+,114
21-01-2024,Sundaram Medical Foundation,AB+,116
22-01-2024,Sundaram Medical Foundation,AB+,121
23-01-2024,Sundaram Medical Foundation,AB+,111
24-01-2024,Sundaram Medical Foundation,AB+,125
25-01-2024,Sundaram Medical Foundation,AB+,121
26-01-2024,Sundaram Medical Foundation,AB+,129
27-01-2024,Sundaram Medical Foundation,AB+,128
28-01-2024,Sundaram Medical Foundation,AB+,127
29-01-2024,Sundaram Medical Foundation,AB+,129
